,Node,longitude,latitude,isHighPriority
229,IA160427883,-92.6319273,41.2762327,False
230,IA160427926,-92.6447214,41.2762079,True
231,IA160427982,-92.6426418,41.2852055,False
232,IA160428143,-92.607996,41.2854007,True
233,IA160428311,-92.6319292,41.2811411,False
234,IA160428608,-92.6624036,41.2852793,False
235,IA160428682,-92.6601789,41.300363,False
236,IA160428686,-92.6601342,41.3060891,False
237,IA160429010,-92.6367639,41.2816671,False
238,IA160429970,-92.4836129,41.4085809,False
239,IA160430337,-92.8225019,41.4946203,False
240,IA160430481,-92.5730324,41.4805956,False
241,IA160430554,-92.6521552,41.2852628,False
242,IA160430669,-92.7381315,41.5020087,False
243,IA160431314,-92.6415235,41.2962495,False
244,IA160431647,-92.6426829,41.2962462,False
245,IA160431776,-92.5558877,41.5024749,False
246,IA160431903,-92.7687473,41.5025724,False
247,IA160432661,-92.5744958,41.4080378,False
248,IA160434142,-92.6426194,41.2815943,True
249,IA160434954,-92.73652,41.2048269,False
250,IA160435187,-92.6670083,41.303016,False
251,IA160435365,-92.8709058,41.3911984,False
252,IA160435703,-92.5752372,41.4717976,False
253,IA160436646,-92.6078577,41.2813014,False
254,IA160437161,-92.63189,41.2962902,True
255,IA160437183,-92.6319374,41.2817539,False
256,IA160438342,-92.6556864,41.2962063,False
257,IA160438344,-92.6556884,41.2993468,False
258,IA160438350,-92.6556857,41.3011104,False
259,IA160440345,-92.6514918,41.4951158,False
260,IA160441885,-92.6700831,41.2924937,False
261,IA160443103,-92.9144134,41.3782616,False
262,IA160445802,-92.9544444,41.4156825,False
263,IA160446336,-92.8766733,41.2921413,False
264,IA160447989,-92.9373253,41.4111112,False
265,IA160450684,-93.0042426,41.306932,False
266,IA160452383,-92.8949113,41.4508663,False
267,IA160457374,-92.8903757,41.3956891,False
268,IA160457591,-92.9156906,41.4318114,False
269,IA160458506,-92.9481725,41.3063518,False
270,IA160459614,-92.87611,41.4906,False
271,IA160459626,-92.8765297,41.2733687,False
272,IA160459629,-92.8771263,41.2733556,False
273,IA160460494,-92.966979,41.2188914,False
274,IA160460959,-92.8987787,41.3968579,False
275,IA160460962,-92.8987256,41.40023,True
276,IA160460971,-92.8985045,41.4073213,False
277,IA160461515,-92.9113425,41.3983971,False
278,IA160461519,-92.9113172,41.4001069,False
279,IA160461531,-92.9112875,41.4080539,False
280,IA160462834,-92.8976838,41.396728,True
281,IA160462914,-92.916341,41.4182941,False
282,IA160463836,-92.9030352,41.3978487,True
283,IA160463866,-92.9243148,41.3185195,False
284,IA160465272,-92.9235503,41.4002014,False
285,IA160465288,-92.9235193,41.4080847,False
286,IA160465313,-92.922246,41.4254,False
287,IA160466075,-92.9036766,41.4072917,False
288,IA160466096,-92.8902881,41.4074271,False
289,IA160467120,-92.9201887,41.397342,False
290,IA160467129,-92.9088041,41.3971955,False
291,IA160467135,-92.9121838,41.3972289,False
292,IA160467138,-92.9131216,41.3972404,False
293,IA160468495,-92.8892305,41.2190169,False
294,IA160468501,-92.8929915,41.218984,False
295,IA160468513,-92.8892794,41.2165919,False
296,IA160468564,-92.9121653,41.3983956,False
297,IA160469725,-92.9031089,41.3971389,False
298,IA160471209,-92.9165243,41.4001603,False
299,IA160471216,-92.9165024,41.4066984,True
300,IA160471218,-92.9164565,41.4080579,True
301,IA160471230,-92.916409,41.4123281,False
302,IA160471239,-92.9166026,41.4254079,False
303,IA160471813,-92.9333393,41.3060097,False
304,IA160472684,-92.8708996,41.3902991,False
305,IA160474372,-92.9120937,41.3940347,False
306,IA160475962,-92.8866967,41.2045085,True
307,IA160477210,-92.9096173,41.4123014,True
308,IA160478048,-92.9088589,41.3939976,False
309,IA160478061,-92.9030391,41.3942146,False
310,IA160478485,-92.9096427,41.4080229,False
311,IA160478521,-92.9286266,41.408419,False
312,IA160478996,-92.904922,41.4001897,False
313,IA160773166,-92.7568854,41.545025,False
314,IA160773430,-92.522696,41.630621,False
315,IA160773506,-92.45493,41.630472,False
316,IA160773782,-92.727056,41.630498,False
317,IA160777195,-92.508718,41.538068,False
318,IA160777196,-92.507659,41.538072,False
319,IA160777213,-92.489193,41.53822,False
320,IA160777267,-92.450604,41.538095,False
